"Time (sec)","Acceleration5 (mm/sec**2)"
0,0
0.0398876404494382,-9.23934263555632
0.0797752808988764,-18.4786852711126
0.119662921348315,-27.718027906669
0.159550561797753,-36.9573705422253
0.199438202247191,-46.1967131777816
0.239325842696629,-55.436055813338
0.279213483146067,-64.6753984488943
0.319101123595506,-73.9147410844506
0.358988764044944,-83.1540837200069
0.398876404494382,-92.3934263555633
0.43876404494382,-101.63276899112
0.478651685393258,-110.872111626676
0.518539325842697,-120.111454262232
0.558426966292135,-129.350796897789
0.598314606741573,-138.590139533345
0.638202247191011,-147.829482168901
0.678089887640449,-157.068824804458
0.717977528089887,-166.308167440014
0.757865168539326,-175.54751007557
0.797752808988764,-184.786852711126
0.837640449438202,-194.026195346683
0.87752808988764,-203.265537982239
0.917415730337078,-212.504880617795
0.957303370786516,-221.744223253352
0.997191011235955,-230.983565888908
1.03707865168539,-240.222908524464
1.07696629213483,-249.462251160021
1.11685393258427,-258.701593795577
1.15674157303371,-267.940936431133
1.19662921348315,-277.18027906669
1.23651685393258,-286.419621702246
1.27640449438202,-295.658964337802
1.31629213483146,-304.898306973359
1.3561797752809,-314.137649608915
1.39606741573034,-323.376992244471
1.43595505617977,-332.616334880028
1.47584269662921,-341.855677515584
1.51573033707865,-351.09502015114
1.55561797752809,-360.334362786696
1.59550561797753,-369.573705422253
1.63539325842697,-378.813048057809
1.6752808988764,-388.052390693365
1.71516853932584,-397.291733328922
1.75505617977528,-406.531075964478
1.79494382022472,-415.770418600034
1.83483146067416,-425.009761235591
1.87471910112359,-434.249103871147
1.91460674157303,-443.488446506703
1.95449438202247,-452.72778914226
1.99438202247191,-461.967131777816
2.03426966292135,-471.206474413372
2.07415730337078,-480.445817048929
2.11404494382022,-489.685159684485
2.15393258426966,-498.924502320041
2.1938202247191,-508.163844955597
2.23370786516854,-517.403187591154
2.27359550561798,-526.64253022671
2.31348314606741,-535.881872862266
2.35337078651685,-545.121215497823
2.39325842696629,-554.360558133379
2.43314606741573,-563.599900768935
2.47303370786517,-572.839243404492
2.5129213483146,-582.078586040048
2.55280898876404,-591.317928675604
2.59269662921348,-600.557271311161
2.63258426966292,-609.796613946717
2.67247191011236,-619.035956582273
2.7123595505618,-628.27529921783
2.75224719101123,-637.514641853386
2.79213483146067,-646.753984488942
2.83202247191011,-655.993327124498
2.87191011235955,-665.232669760055
2.91179775280899,-674.472012395611
2.95168539325842,-683.711355031167
2.99157303370786,-692.950697666724
3.0314606741573,-702.19004030228
3.07134831460674,-711.429382937837
3.11123595505618,-720.668725573393
3.15112359550562,-729.908068208949
3.19101123595505,-739.147410844505
3.23089887640449,-748.386753480062
3.27078651685393,-757.626096115618
3.31067415730337,-766.865438751174
3.35056179775281,-776.104781386731
3.39044943820224,-785.344124022287
3.43033707865168,-794.583466657843
3.47022471910112,-803.8228092934
3.51011235955056,-813.062151928956
3.55,-822.301494564513
